ID,template_ID,field_ID,sheet,transformation_ID,targetApiField_ID,semanticRole,status,statusDetail,sequenceNo
c0000000-0000-0000-0000-000000000001,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000001,Summary,,e0000000-0000-0000-0000-000000000001,REFERENCE,OK,,1
c0000000-0000-0000-0000-000000000002,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000002,Summary,,e0000000-0000-0000-0000-000000000002,CODE,OK,,2
c0000000-0000-0000-0000-000000000003,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000003,Summary,,e0000000-0000-0000-0000-000000000003,CODE,OK,,3
c0000000-0000-0000-0000-000000000004,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000004,Summary,,e0000000-0000-0000-0000-000000000004,CODE,OK,,4
c0000000-0000-0000-0000-000000000005,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000005,Summary,d0000000-0000-0000-0000-000000000004,e0000000-0000-0000-0000-000000000005,DATE,OK,,5
c0000000-0000-0000-0000-000000000006,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000006,Summary,,e0000000-0000-0000-0000-000000000006,TEXT,OK,,6
c0000000-0000-0000-0000-000000000007,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000007,Summary,,e0000000-0000-0000-0000-000000000007,TEXT,OK,,7
c0000000-0000-0000-0000-000000000008,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000008,Summary,,e0000000-0000-0000-0000-000000000008,CODE,OK,,8
c0000000-0000-0000-0000-000000000009,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000009,Summary,,e0000000-0000-0000-0000-000000000009,TEXT,OK,,9
c0000000-0000-0000-0000-000000000010,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000010,Detail,d0000000-0000-0000-0000-000000000004,e0000000-0000-0000-0000-000000000010,DATE,OK,,10
c0000000-0000-0000-0000-000000000011,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000011,Detail,d0000000-0000-0000-0000-000000000003,e0000000-0000-0000-0000-000000000011,AMOUNT,OK,,11
c0000000-0000-0000-0000-000000000012,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000012,Detail,d0000000-0000-0000-0000-000000000001,e0000000-0000-0000-0000-000000000012,REFERENCE,OK,,12
c0000000-0000-0000-0000-000000000013,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000013,Detail,,e0000000-0000-0000-0000-000000000013,CODE,OK,,13
c0000000-0000-0000-0000-000000000014,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000014,Detail,,e0000000-0000-0000-0000-000000000014,PARTY,OK,,14
c0000000-0000-0000-0000-000000000015,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000015,Detail,,e0000000-0000-0000-0000-000000000015,PARTY,OK,,15
c0000000-0000-0000-0000-000000000016,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000016,Detail,,e0000000-0000-0000-0000-000000000016,REFERENCE,OK,,16
c0000000-0000-0000-0000-000000000017,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000017,Detail,d0000000-0000-0000-0000-000000000005,e0000000-0000-0000-0000-000000000017,PARTY,OK,,17
c0000000-0000-0000-0000-000000000018,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000018,Detail,,e0000000-0000-0000-0000-000000000018,TEXT,OK,,18
c0000000-0000-0000-0000-000000000019,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000019,Detail,,e0000000-0000-0000-0000-000000000019,TEXT,OK,,19
c0000000-0000-0000-0000-000000000020,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000020,Detail,,e0000000-0000-0000-0000-000000000020,REFERENCE,OK,,20
c0000000-0000-0000-0000-000000000021,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000021,Detail,,e0000000-0000-0000-0000-000000000021,REFERENCE,OK,,21
c0000000-0000-0000-0000-000000000022,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000022,Detail,,e0000000-0000-0000-0000-000000000022,TEXT,OK,,22
c0000000-0000-0000-0000-000000000023,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000023,Detail,,e0000000-0000-0000-0000-000000000023,REFERENCE,OK,,23
c0000000-0000-0000-0000-000000000024,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000024,Detail,,e0000000-0000-0000-0000-000000000024,CODE,OK,,24
c0000000-0000-0000-0000-000000000025,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000025,Detail,,e0000000-0000-0000-0000-000000000025,CODE,OK,,25
c0000000-0000-0000-0000-000000000026,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000026,Adjustments,,e0000000-0000-0000-0000-000000000026,REFERENCE,OK,,26
c0000000-0000-0000-0000-000000000027,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000027,Adjustments,,e0000000-0000-0000-0000-000000000027,PARTY,OK,,27
c0000000-0000-0000-0000-000000000028,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000028,Adjustments,,e0000000-0000-0000-0000-000000000028,CODE,OK,,28
c0000000-0000-0000-0000-000000000029,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000029,Adjustments,d0000000-0000-0000-0000-000000000001,e0000000-0000-0000-0000-000000000029,REFERENCE,OK,,29
c0000000-0000-0000-0000-000000000030,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000030,Adjustments,d0000000-0000-0000-0000-000000000003,e0000000-0000-0000-0000-000000000030,AMOUNT,OK,,30
c0000000-0000-0000-0000-000000000031,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000031,Adjustments,d0000000-0000-0000-0000-000000000003,e0000000-0000-0000-0000-000000000031,AMOUNT,OK,,31
c0000000-0000-0000-0000-000000000032,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000032,Adjustments,,e0000000-0000-0000-0000-000000000032,CODE,OK,,32
c0000000-0000-0000-0000-000000000033,b0000000-0000-0000-0000-000000000001,a0000000-0000-0000-0000-000000000033,Adjustments,,e0000000-0000-0000-0000-000000000033,REFERENCE,OK,,33
